,id,base_currency,quote_currency,base_min_size,base_max_size,quote_increment,base_increment,display_name,min_market_funds,max_market_funds,margin_enabled,fx_stablecoin,max_slippage_percentage,post_only,limit_only,cancel_only,trading_disabled,status,status_message,auction_mode
176,ICP-USD,ICP,USD,0.001,4500,0.001,0.0001,ICP/USD,5,250000,False,False,0.10000000,False,False,False,False,online,,False
177,AGLD-USD,AGLD,USD,0.1,120000,0.01,0.01,AGLD/USD,5,100000,False,False,0.10000000,False,False,False,False,online,,False
178,ZEC-USDC,ZEC,USDC,0.01,5000,0.01,0.00000001,ZEC/USDC,10,250000,False,False,0.10000000,False,False,False,False,online,,False
179,OGN-USD,OGN,USD,0.1,130000,0.001,0.01,OGN/USD,5,100000,False,False,0.10000000,False,False,False,False,online,,False
180,BAL-USD,BAL,USD,0.1,6700,0.00001,0.001,BAL/USD,1.0,100000,False,False,0.10000000,False,False,False,False,online,,False
181,ZEN-USD,ZEN,USD,0.01,3000,0.01,0.001,ZEN/USD,5,100000,False,False,0.10000000,False,False,False,False,online,,False
182,BCH-GBP,BCH,GBP,0.01,250,0.01,0.00000001,BCH/GBP,10,500000,False,False,0.10000000,False,False,False,False,online,,False
183,FORTH-GBP,FORTH,GBP,0.01,7200,0.001,0.001,FORTH/GBP,5.0,100000,False,False,0.10000000,False,False,False,False,online,,False
184,REQ-USD,REQ,USD,10,3700000,0.00001,1,REQ/USD,5,100000,False,False,0.10000000,False,False,False,False,online,,False
185,USDT-USD,USDT,USD,1,2000000,0.0001,0.01,USDT/USD,5,2000000,False,True,0.01000000,False,False,False,False,online,,False
186,WLUNA-EUR,WLUNA,EUR,0.01,17000,0.01,0.001,WLUNA/EUR,5,100000,False,False,0.10000000,False,True,False,False,online,,False
187,FORTH-USD,FORTH,USD,0.01,7200,0.001,0.001,FORTH/USD,5.0,100000,False,False,0.10000000,False,False,False,False,online,,False
188,FIL-EUR,FIL,EUR,0.01,3400,0.0001,0.001,FIL/EUR,1.0,84000,False,False,0.10000000,False,False,False,False,online,,False
189,ETH-GBP,ETH,GBP,0.001,1400,0.01,0.00000001,ETH/GBP,10,1000000,False,False,0.10000000,False,False,False,False,online,,False
190,BAND-BTC,BAND,BTC,0.1,18000,0.00000001,0.01,BAND/BTC,0.0001,10,False,False,0.10000000,False,False,False,False,online,,False
191,LINK-USD,LINK,USD,0.1,90000,0.00001,0.01,LINK/USD,10,500000,False,False,0.10000000,False,False,False,False,online,,False
192,MASK-USDT,MASK,USDT,0.1,67000,0.01,0.01,MASK/USDT,5.0,100000,False,False,0.10000000,False,False,False,False,online,,False
193,UST-EUR,UST,EUR,1,250000,0.001,0.01,UST/EUR,5.0,100000,False,True,0.10000000,False,True,False,False,online,,False
194,USDT-GBP,USDT,GBP,1,200000,0.0001,0.01,USDT/GBP,5,200000,False,True,0.01000000,False,False,False,False,online,,False
195,SKL-USD,SKL,USD,5,1000000,0.0001,0.1,SKL/USD,5.0,100000,False,False,0.10000000,False,False,False,False,online,,False
196,MANA-EUR,MANA,EUR,0.1,220000,0.001,0.01,MANA/EUR,5.0,100000,False,False,0.10000000,False,False,False,False,online,,False
197,CRV-EUR,CRV,EUR,0.5,100000,0.0001,0.01,CRV/EUR,5,100000,False,False,0.10000000,False,False,False,False,online,,False
198,CHZ-USDT,CHZ,USDT,1,900000,0.0001,0.1,CHZ/USDT,5.0,100000,False,False,0.10000000,False,False,False,False,online,,False
199,SNX-USD,SNX,USD,0.1,19000,0.0001,0.001,SNX/USD,1.0,200000,False,False,0.10000000,False,False,False,False,online,,False
200,ALGO-BTC,ALGO,BTC,1,260000,0.00000001,1,ALGO/BTC,0.0001,6.0,False,False,0.10000000,False,False,False,False,online,,False
201,ZEC-BTC,ZEC,BTC,0.01,1500,0.000001,0.0001,ZEC/BTC,0.001,30,False,False,0.10000000,False,False,False,False,online,,False
202,RAD-USDT,RAD,USDT,0.1,32000,0.01,0.01,RAD/USDT,5,100000,False,False,0.10000000,False,False,False,False,online,,False
203,ETH-EUR,ETH,EUR,0.001,1600,0.01,0.00000001,ETH/EUR,10,1500000,False,False,0.10000000,False,False,False,False,online,,False
204,BNT-USD,BNT,USD,1,95000,0.0001,0.000001,BNT/USD,1.0,100000,False,False,0.10000000,False,False,False,False,online,,False
205,AGLD-USDT,AGLD,USDT,0.1,120000,0.01,0.01,AGLD/USDT,5,100000,False,False,0.10000000,False,True,False,False,online,,False
206,AXS-USDT,AXS,USDT,0.01,5900,0.01,0.001,AXS/USDT,5,100000,False,False,0.10000000,False,False,False,False,online,,False
207,YFII-USD,YFII,USD,0.0001,61,0.01,0.00000001,YFII/USD,5,100000,False,False,0.10000000,False,True,False,False,online,,False
208,BTRST-EUR,BTRST,EUR,0.1,250000,0.001,0.01,BTRST/EUR,5,100000,False,False,0.10000000,False,True,False,False,online,,False
209,ICP-EUR,ICP,EUR,0.001,4000,0.001,0.0001,ICP/EUR,5,250000,False,False,0.10000000,False,False,False,False,online,,False
210,RGT-USD,RGT,USD,0.01,25000,0.01,0.001,RGT/USD,5,100000,False,False,0.10000000,False,False,False,False,online,,False
